9base 6-4
abiword 2.8.6-9
ack-git 20091126-1
addon-sdk 1.14-1
adom 1.2.0_pre5-1
aewan 1.0.01-3
ajaxterm 0.11-9
alsa-tray 0.6-2
alsamixer.app 0.1-3
alsi 0.4.5-1
android-sdk-platform-tools r18.0.1-1
antiword 0.37-3
apache-tools 2.4.6-1
arandr 0.1.7.1-1
archey 20130324-3
archlinux-themes-slim 1.2-3
archsysinfo-git 20120516-1
aria2 1.18.0-1
ascii 3.12-1
asciidoc 8.6.8-2
asciiio-git 30.e687422-1
asciiquarium 1.1-2
assogiate 0.2.1-5
aterm 1.0.1-3
audacity 2.0.4-1
aumix 2.9.1-4
aur-git 20120126-1
aurvote 1.6-1
autoconf 2.69-1
automake 1.14-1
b43-firmware 5.100.138-2
b43-fwcutter 018-1
bash 4.2.045-5
batti 0.3.8-3
bb 1.3rc1-12
beep 1.3-2
bison 3.0-1
broadcom-wl 6.30.223.141-3
bsd-games 2.17-14
bsdmainutils 9.0.5-1
bubblemon-dockapp 1.46-3
bzip2 1.0.6-4
calabash 1.0.9-1
casperjs-git 20130219-1
catdoc 0.94.4-1
cfengine 3.5.0-2
chordii 4.3-3
chromium 29.0.1547.76-1
chruby 0.3.7-1
clipit 1.4.2-4
clisp 2.49-3
clive 2.3.3-2
cmatrix 1.2a-6
codecs64 20071007-1
command-not-found 0.4.5-1
coreutils 8.21-2
cputnik 0.2.0-6
cronie 1.4.9-5
cryptsetup 1.6.2-1
ctags 5.8-3
cups 1.6.3-1
deb2targz 0.1-7
despotify-svn 521-2
device-mapper 2.02.100-1
dguitar 0.5.8-5
dhclient 4.2.5.p1-2
dhcpcd 6.0.5-1
dia 0.97.2-5
dialog 1.2_20130902-1
diffutils 3.3-1
dmenu 4.5-3
dnsutils 9.9.2.P2-1
dog 1.7-3
dos2unix 6.0.3-1
dropbox 2.2.13-1
dropbox-cli 1-15
dtach 0.8-5
dunst-git 20130610.543-1
e2fsprogs 1.42.8-1
ekiga-lite 4.0.1-1
elinks 0.13-12
eog 3.8.2-1
epiphany 3.8.2-1
espeak 1.47.11-1
etc-update 13723-9
evince-gtk 3.8.3-1
fakeroot 1.20-1
fbxkb 0.6-2
feh 2.9.3-1
feh-gtk 1.3a-2
festival 2.1-3
ffmpeg 1:2.0.1-1
ffmpegthumbnailer 2.0.8-4
figlet 2.2.5-1
file 5.14-1
filesystem 2013.05-2
findutils 4.4.2-5
fingerprint-gui 1.05-1
firefox-aurora 26.0a2.20130923004006-1
flashplugin-beta 11.2.202.297-1
flex 2.5.37-1
font-misc-ethiopic 1.0.3-1
gatotray 2.0-2
gawk 4.1.0-1
gbdfed 1.6-3
gcc-multilib 4.8.1-3
gdb 7.6.1-1
gephi 0.8.2beta-1
gettext 0.18.3.1-1
gimp 2.8.6-2
gimp-extras 2.0.1-3
gimp-plugin-saveforweb 0.29.3-2
gimp-resynth-git 2.0.4.g23dced0-2
gkrellm 2.3.5-4
gksu 2.0.2-4
glibc 2.18-4
gmtp 1.3.4-1
gnome-alsamixer 0.9.7-1
gnome-colors-icon-theme 5.5.1-2
gnome-colors-icon-theme-extras 5.5.1-1
gnome-keyring 3.8.2-1
gnome-system-monitor-old 2.28.2-2
gnome-terminal 3.8.4-1
gntp-send-git 8241d46-1
gnuitar 0.3.2-2
gnumeric 1.12.7-1
go-mtpfs-git 20130904-1
google-talkplugin 4.6.3.0-1
googsystray 1.3.1-2
gpg-crypter 0.4.1-1
gptfdisk 0.8.7-1
graphviz 2.32.0-2
grep 2.14-2
growl-for-linux 0.7.0-1
gstreamer0.10-ffmpeg 0.10.13-1
gtk-theme-shiki-colors 4.6-1
gtk-theme-switch2 2.1.0-2
gtk2fontsel 0.1-4
gvfs-mtp 1.16.3-2
gzip 1.6-1
haveged 1.7.c-1
hdparm 9.43-2
heirloom-mailx 12.5-3
htop-svn 308-1
httperf 0.9.0-5
httpie 0.6.0-2
httping 2.3.3-1
i3-wm 4.6-1
i3lock 2.5-2
i3status 2.7-1
ifplugd 0.28-14
iftop 1.0pre2-1
inetutils 1.9.1.341-1
inkscape 0.48.4-11
inotify-tools 3.14-2
iotop 0.6-2
iproute2 3.10.0-1
iputils 20121221-3
iw 3.10-2
j4status-git 20130504-1
jdk7-openjdk 7.u40_2.4.2-1
jfsutils 1.1.15-4
jmtpfs 0.4-1
jq 1.1-3
jsawk-git 20110712-2
jshon 20130815-1
jsmin git-1
key-mon 1.16-4
keychain 2.7.1-3
kguitar-svn 1012-2
ld-lsb 3-6
leafpad 0.8.18.1-3
less 458-1
leveldb 1.13.0-1
libjpeg6 6b1-2
libmtp 1.1.6-1
libreoffice-calc 4.1.1-2
libtool 2.4.2-10
licenses 20130203-1
linphone 3.6.1-1
linux 3.11.1-2
littler 0.1.5-1
logrotate 3.8.6-1
lsb-release 1.4-13
lshw-gtk B.02.16-2
luakit 2012.09.13.r1-5
lvm2 2.02.100-1
lxappearance2-git 20130209-1
lxpanel 0.5.12-2
lxpanel-indicator-applet-plugin 0.5.10-1
lxrandr 0.1.2-3
lxtask 0.1.4-3
m4 1.4.16-3
magic-motd 20130116-5
make 3.82-6
man-db 2.6.5-1
man-pages 3.54-1
markdown 1.0.1-5
mdadm 3.3-1
midori 0.5.5-1
mime-archpkg 0.3.4.1-1
mimeo 2013.7.24-1
mlocate 0.26-1
mmv 1.01b.orig-3
mongodb 2.4.6-1
monit 5.5-3
montecarlo-font 1-2
mrxvt 0.5.4-5
mtpfs 1.1-1
mydumper 0.5.2-1
nano 2.2.6-2
nautilus 3.8.2-1
ncdu 1.10-1
neo4j 1.8-1
netctl 1.3-1
netmon-git 80202a7-1
network-manager-applet 0.9.8.4-1
networkmanager-dispatcher-openntpd 1.0-5
nginx 1.4.2-4
note2tab 0.1-1
notification-daemon 0.7.6-2
notification-daemon-engine-nodoka 0.1.0-3
notifyconf 7-4
ntpdate 4.2.6p5-1
nyancat-git 1.1.10.g07a8fd0-1
oneko 1.2.5-4
opencolorio 1.0.8-1
openexr170-libs 1.7.0-1
openntpd 3.9p1-22
openshot-bzr 741-1
openssh 6.3p1-1
pacdiffvim-git v1.1.6.gce32d82-1
pacgem 0.9.12-1
pacman 4.1.2-1
pacnew_scripts 2012.12-2
pacnews-git 20120731-1
pamixer-git 20120804-1
parcellite 1.1.6-1
pasystray-git 20130221-1
patch 2.7.1-2
pavucontrol-gtk2 2.0-3
pciutils 3.2.0-3
pcmanfm 1.1.2-2
pcmciautils 018-7
percona-server 5.5.33_rel31.1-1
perl 5.18.1-1
perl-convert-uu 0.5201-1
perl-file-mimeinfo 0.18-1
perl-text-vimcolor 0.23-2
perl-xml-twig 3.44-1
phantomjs 1.9.2-1
pickyfont-git 20101027-1
pjsip 2.1-2
pkg-config 0.28-1
pkgfile 10-1
pm-utils 1.4.1-6
ponymix-git 1.2.g60328ca-1
postgresql 9.2.4-2
ppp 2.4.5-8
procps-ng 3.3.8-3
psmisc 22.20-1
pulseaudio-alsa 2-2
pulseaudio_ctl 1.11-2
pv 1.4.6-1
python-markdown 2.3.1-2
python-markdown2 1.0.1.17-3
python2-imaging 1.1.7-8
python2-iwscan 20090609-4
python2-markdown 2.3.1-2
python2-notify2 0.3-1
python2-wpactrl 20090609-4
python2-xlib 0.15rc1-6
quickserve 2013.5-1
r-ggplot2 0.9.3.1-1
r-labeling 0.2-3
r-munsell 0.4.2-3
rb-inotify 0.8.5-3
redis 2.6.16-2
redis-munin-git 20130321-1
reiserfsprogs 3.6.24-1
reptyr-git 20130107-1
resty 2.2-1
rhash 1.2.10-1
rlwrap 0.37-2
rsync 3.0.9-6
ruby 2.0.0_p247-3
ruby-albino 1.3.3-4
ruby-bundler 1.3.5-1
ruby-coderay 1.0.9-1
ruby-kramdown 1.0.2-1
ruby-pry 0.9.12.2-1
ruby-ronn 0.7.3-2
ruby-sass 3.2.10-1
rumor 1.0.4-1
rxvt-unicode-256xresources 9.18-1
scour 0.26-1
screenfetch-git 20130409-1
screenkey 0.2-5
seahorse 3.8.2-1
sed 4.2.2-3
sgrep 1.94a-1
shadow 4.1.5.1-6
sharutils 4.13.5-1
shellex-git 0.1-1
shuffle 1.5-4
shunit2 2.1.6-7
shutter 0.90.1-1
siege 3.0.4-1
simple-mtpfs 0.1-3
simplescreenrecorder 0.1.0-1
sl 5.0-2
slim 1.3.5-3
slim-themes 1.2.3-6
smplayer 0.8.6-1
statnot 0.0.4-2
stderred-git 20120710-1
strace 4.8-1
sudo 1.8.7-1
svg2png 0.1.3-7
synfigstudio 0.64.0-1
sysfsutils 2.1.0-8
syslinux 4.07-1
syspeek-xfce 0.2-1
system-config-printer 1.4.1-3
systemd-sysvcompat 207-5
systemd-ui-git 20121223-1
t1utils 1.37-1
tamsynmod 1.7-1
tamzen-font-git 17.ee7f64d-1
tar 1.26-4
termsyn 1.8.7-1
texinfo 5.1-1
thunar 1.6.3-1
tig 1.2.1-1
tiv 2013.2.23-2
tmux-git 20130503-1
toilet 0.3-1
toilet-fonts 1.0-2
transmission-cli 2.82-1
transmission-gtk 2.82-1
tree 1.6.0-2
ttf-anka-coder 1.100-1
ttf-droid-monovar 1.0-4
ttf-georgewilliams 1.0-1
ttf-google-fonts-git 20130630-1
ttf-microsoft-consolas 5.32-1
ttf-monaco 5.1-2
ttf-ms-webfonts 2.0-3
ttf-tahoma 1:1.5.9-1
